mission,mss_id,tm_id,roi_id
L4,LANDSAT/LT04/C02/T2/LT04_170036_19910109,LANDSAT/LM04/C02/T2/LM04_170036_19910109,ROI_0020
L4,LANDSAT/LT04/C02/T2/LT04_041035_19821210,LANDSAT/LM04/C02/T2/LM04_041035_19821210,ROI_0046
L4,LANDSAT/LT04/C02/T2/LT04_051023_19821216,LANDSAT/LM04/C02/T2/LM04_051023_19821216,ROI_0080
L4,LANDSAT/LT04/C02/T2/LT04_049024_19830103,LANDSAT/LM04/C02/T2/LM04_049024_19830103,ROI_0082
L4,LANDSAT/LT04/C02/T2/LT04_046025_19830130,LANDSAT/LM04/C02/T2/LM04_046025_19830130,ROI_0083
L4,LANDSAT/LT04/C02/T2/LT04_047025_19830105,LANDSAT/LM04/C02/T2/LM04_047025_19830105,ROI_0083
L4,LANDSAT/LT04/C02/T2/LT04_038029_19830106,LANDSAT/LM04/C02/T2/LM04_038029_19830106,ROI_0084
L4,LANDSAT/LT04/C02/T2/LT04_038029_19890818,LANDSAT/LM04/C02/T2/LM04_038029_19890818,ROI_0084
L4,LANDSAT/LT04/C02/T2/LT04_037030_19890624,LANDSAT/LM04/C02/T2/LM04_037030_19890624,ROI_0086
L4,LANDSAT/LT04/C02/T2/LT04_170037_19910109,LANDSAT/LM04/C02/T2/LM04_170037_19910109,ROI_0113
L4,LANDSAT/LT04/C02/T2/LT04_171036_19891110,LANDSAT/LM04/C02/T2/LM04_171036_19891110,ROI_0113
L4,LANDSAT/LT04/C02/T2/LT04_059015_19830210,LANDSAT/LM04/C02/T2/LM04_059015_19830210,ROI_0127
L4,LANDSAT/LT04/C02/T2/LT04_072012_19920808,LANDSAT/LM04/C02/T2/LM04_072012_19920808,ROI_0130
L4,LANDSAT/LT04/C02/T2/LT04_070011_19921013,LANDSAT/LM04/C02/T2/LM04_070011_19921013,ROI_0131
L4,LANDSAT/LT04/C02/T2/LT04_070012_19920810,LANDSAT/LM04/C02/T2/LM04_070012_19920810,ROI_0131
L4,LANDSAT/LT04/C02/T2/LT04_071011_19920817,LANDSAT/LM04/C02/T2/LM04_071011_19920817,ROI_0131
L4,LANDSAT/LT04/C02/T2/LT04_071011_19920902,LANDSAT/LM04/C02/T2/LM04_071011_19920902,ROI_0131
L4,LANDSAT/LT04/C02/T2/LT04_228085_19890720,LANDSAT/LM04/C02/T2/LM04_228085_19890720,ROI_0152
L4,LANDSAT/LT04/C02/T2/LT04_228085_19890821,LANDSAT/LM04/C02/T2/LM04_228085_19890821,ROI_0152
